,fold,model,outer_acc,outer_bal_acc,outer_macro_f1,inner_best_score,best_params,fit_time_sec
0,1,LogisticRegression,0.8643410852713178,0.8241107163276976,0.8250036792088968,0.8359223300970873,"{'clf__C': np.float64(0.003593813663804626), 'clf__solver': 'lbfgs'}",61.78985773600289
1,1,LinearSVM,0.8527131782945736,0.8169136007747868,0.8199655855919243,0.8378640776699029,"{'clf__C': np.float64(0.001), 'clf__tol': 0.01}",56.84995643599541
2,2,LogisticRegression,0.813953488372093,0.7251384883432916,0.7398708616782732,0.8456310679611649,"{'clf__C': np.float64(0.01291549665014884), 'clf__solver': 'lbfgs'}",59.06142595800338
3,2,LinearSVM,0.8410852713178295,0.7833990093849726,0.7919850438875639,0.8252427184466018,"{'clf__C': np.float64(0.001), 'clf__tol': 0.01}",56.37304984399816
4,3,LogisticRegression,0.8333333333333334,0.7671418518818814,0.7858489202673126,0.8339805825242719,"{'clf__C': np.float64(0.003593813663804626), 'clf__solver': 'lbfgs'}",60.43405449501006
5,3,LinearSVM,0.8294573643410853,0.7566546767518592,0.780434121933235,0.8252427184466018,"{'clf__C': np.float64(0.001), 'clf__tol': 0.001}",56.70840578697971
6,4,LogisticRegression,0.8326848249027238,0.7893839813818734,0.7926428087042388,0.8408986445288683,"{'clf__C': np.float64(0.003593813663804626), 'clf__solver': 'lbfgs'}",66.20315910500358
7,4,LinearSVM,0.8560311284046692,0.8403768143184228,0.8286219457238273,0.8273298625768021,"{'clf__C': np.float64(0.003593813663804626), 'clf__tol': 0.01}",59.350674160989
8,5,LogisticRegression,0.8287937743190662,0.7757275031090324,0.787453877546446,0.8370479808639368,"{'clf__C': np.float64(0.001), 'clf__solver': 'saga'}",62.38674935899326
9,5,LinearSVM,0.8287937743190662,0.7961017070876605,0.8011551500993378,0.8118240232634492,"{'clf__C': np.float64(0.003593813663804626), 'clf__tol': 0.001}",67.3231485739816
